BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log,Cluster_KMeans,Cluster_Ward,Cluster_DBSCAN
2380,Gridiron Fantasy Football,1995,2.125,2,2,14.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.835861644462582,0.0,0.0,0.0,2.19722457733622,1,1,0
1509,Dogfight,1962,1.4615,2,4,10.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0007451564828614,0.0,0.0,2,5.889800893331482,0.0,0.0,0.0,3.970291913552122,1,0,0
1649,Colonisator: The Twelve Planets' War,1979,2.6364,2,2,16.0,120.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0003710575139146,0.0,0.0,1,4.465908118654584,0.6931471805599453,0.0,0.0,2.4849066497880004,0,1,0
174744,Mogul,2015,2.0526,3,5,11.0,45.0,45.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.054439346269371,0.0,0.6931471805599453,0.0,2.995732273553991,1,0,0
275530,Game of Thrones: Oathbreaker,2019,2.0,5,8,10.0,30.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.52012669484911,0.0,0.0,0.6931471805599453,1.6094379124341005,1,0,0
4157,Hail to the Chief,1987,1.25,2,4,10.0,90.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.784189633918261,0.0,0.0,0.0,1.6094379124341005,1,0,0
221122,Churrascaria: A Cutthroat Game of Gluttony,2018,1.75,2,6,10.0,25.0,35.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.9318256327243257,0.0,0.0,0.0,1.6094379124341005,1,0,0
2422,Bismarck,1962,2.8525,2,2,14.0,120.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.000812347684809,0.0,0.0,2,5.625220152153099,0.0,0.6931471805599453,0.0,4.127134385045092,0,1,0
10989,ConHex,2002,2.8,2,2,8.0,30.0,30.0,0,0,0.0,0.0060240963855421,0.0,0.0,0.0,0.0,0.0,0.0,2,4.7303333289420975,0.0,0.0,0.0,3.58351893845611,0,0,0
108737,Air Show,2011,2.5455,2,5,10.0,60.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.446565155811452,0.0,0.0,0.0,2.4849066497880004,0,0,0
266444,Sherlock: 13 Hostages,2018,2.0,1,8,10.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.739792912179234,1.9459101490553128,0.0,0.0,1.791759469228055,1,0,0
162012,GembloQ,2014,1.3333,2,4,7.0,20.0,30.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.721669276936927,1.0986122886681098,0.6931471805599453,0.0,1.9459101490553128,1,0,0
25104,Absolut överens,2004,1.0,3,10,10.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7612001156935615,1.0986122886681098,0.0,0.0,0.6931471805599453,1,0,0
322148,Pocket Detective: Die Bombe tickt,2020,2.0,1,6,10.0,45.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.179502370562408,2.079441541679836,0.0,0.0,1.0986122886681098,1,0,0
148309,Gazala: The Cauldron,2013,2.5556,2,2,12.0,180.0,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0008038585209003,0.0,0.0,3,5.0917031171850375,0.6931471805599453,0.0,0.0,2.302585092994046,0,1,0
81850,Trigger!,2010,1.0,3,8,8.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025974025974025,0.0,2,5.3981627015177525,0.6931471805599453,1.0986122886681098,0.0,2.5649493574615367,1,0,0
102898,Sewer Pirats,2012,2.1429,2,5,8.0,30.0,60.0,0,0,0.0,0.0,0.0011037527593818,0.0,0.0,0.0,0.0,0.0,2,6.4546743169323095,1.6094379124341005,0.0,0.0,3.912023005428146,1,0,0
137912,Top 5 Rummy,2013,1.8,2,4,9.0,20.0,40.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.871201010907891,0.0,0.0,0.0,1.791759469228055,1,0,0
21457,Cover Up,2006,1.4,2,2,6.0,10.0,15.0,0,0,0.0,0.0014970059880239,0.0,0.0,0.0,0.0,0.0,0.0,2,3.970291913552122,1.0986122886681098,0.0,0.0,2.3978952727983707,1,0,0
36478,Gridstones,2008,1.25,2,7,4.0,20.0,20.0,0,0,0.0,0.0016977928692699,0.0,0.0,0.0,0.0,0.0,0.0,2,4.179502370562408,0.6931471805599453,0.0,0.0,2.19722457733622,1,0,0
311330,P for Pizza,2020,1.0,2,4,10.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.398555936625092,0.6931471805599453,0.0,0.0,1.3862943611198906,1,0,0
321928,Penalty Challenge,2019,1.0,2,4,10.0,20.0,40.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6094379124341005,0.0,0.6931471805599453,0.0,1.0986122886681098,1,0,0
46807,Infinite City,2009,1.891,2,6,9.0,45.0,45.0,0,0,0.00067521944632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.604846759199065,0.0,0.0,0.6931471805599453,5.056245805348308,1,0,0
153116,Bravest Warriors Co-operative Dice Game,2014,1.3333,1,6,10.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.974432245432295,0.0,0.0,0.0,1.9459101490553128,1,0,0
7808,Solar Trader,1990,1.5714,2,6,14.0,100.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.688879454113936,0.0,0.0,0.0,2.079441541679836,1,0,0
